MSSubClass,Neighborhood,YearBuilt,YearRemodAdd,MasVnrArea,BsmtUnfSF,LowQualFinSF,TotRmsAbvGrd,FireplaceQu,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSeasonPorch,ScreenPorch,PoolArea,Total_basement_fin,House_Qual,SalePrice
20.0,12.0,48.99999999999999,49.0,0.0,270.0,0.0,5.0,3.0000000000000004,49.00000000000002,730.0,140.0,0.0,0.0,0.0,120.0,0.0,612.0,11.0,281476.0
20.0,12.0,52.0,52.0,108.0,406.0,0.0,6.0,3.0000000000000004,51.999999999999986,312.0,392.99999999999994,36.0,0.0,0.0,0.0,0.0,923.0,12.0,295824.0
59.99999999999999,8.0,13.0,12.0,0.0,137.0,0.0,6.0,5.0,12.999999999999996,482.00000000000006,212.0,34.0,0.0,0.0,0.0,0.0,791.0,10.0,294863.0
59.99999999999999,8.0,12.0,12.0,20.0,324.0,0.0,6.999999999999999,2.0,11.999999999999996,470.00000000000006,360.0,36.0,0.0,0.0,0.0,0.0,602.0,12.0,295824.0
119.99999999999999,22.0,18.0,18.0,0.0,1017.0,0.0,5.0,3.0000000000000004,17.999999999999996,506.0,0.0,82.0,0.0,0.0,144.0,0.0,263.0,13.0,300034.0
59.99999999999999,8.0,17.0,16.0,0.0,763.0,0.0,6.999999999999999,5.0,16.999999999999996,440.0,157.0,84.0,0.0,0.0,0.0,0.0,0.0,11.0,294787.0
20.0,8.0,18.0,3.0,0.0,233.0,0.0,6.0,3.0000000000000004,17.999999999999996,420.0,483.0,21.0,0.0,0.0,0.0,0.0,935.0,13.0,294863.0
59.99999999999999,8.0,12.0,12.0,0.0,789.0,0.0,6.999999999999999,2.0,11.999999999999996,393.00000000000006,0.0,75.0,0.0,0.0,0.0,0.0,0.0,11.0,298085.0
20.0,8.0,20.0,20.000000000000004,0.0,663.0,0.0,5.0,4.0,19.999999999999993,506.0,192.0,0.0,0.0,0.0,0.0,0.0,637.0,12.0,279539.0
20.0,12.0,40.0,40.0,0.0,0.0,0.0,4.0,3.0000000000000004,39.999999999999986,525.0,240.0,0.0,0.0,0.0,0.0,0.0,882.0,9.0,277068.0
119.99999999999999,12.0,11.0,11.0,0.0,354.0,0.0,5.0,1.0,10.999999999999996,511.0,203.0,68.0,0.0,0.0,0.0,0.0,1051.0,12.0,294863.0
160.0,2.0,39.00000000000001,39.0,504.0,327.0,0.0,5.0,3.0000000000000004,38.99999999999999,264.0,275.0,0.0,0.0,0.0,0.0,0.0,156.0,11.0,279959.0
160.0,2.0,39.00000000000001,39.0,491.99999999999994,225.0,0.0,6.0,3.0000000000000004,12.999999999999996,320.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,10.0,282835.0
160.0,13.0,35.00000000000001,35.0,0.0,341.0,0.0,6.0,5.0,34.99999999999999,440.0,173.0,0.0,0.0,0.0,0.0,0.0,514.0,12.0,279539.0
119.99999999999999,13.0,35.00000000000001,35.0,0.0,836.0,0.0,4.0,3.0000000000000004,34.99999999999999,308.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,13.0,298085.0
59.99999999999999,16.0,1.0,0.0,162.00000000000003,1590.0,0.0,10.0,2.0,0.9999999999999998,751.0,144.0,133.0,0.0,0.0,0.0,0.0,0.0,14.0,310741.0
20.0,16.0,1.0,0.0,256.0,1544.0,0.0,6.999999999999999,3.0000000000000004,0.9999999999999998,868.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,13.0,311825.0
